(0, 0.005516487097876215)
(1, 0.0067042473768778145)
(2, 0.008066674071037117)
(3, 0.009609394967767977)
(4, 0.011333254299965413)
(5, 0.01323336460858351)
(6, 0.015298293135306925)
(7, 0.017509459231147974)
(8, 0.019840816641811993)
(9, 0.02225888517018414)
(10, 0.02472317993321278)
(11, 0.027187063740433406)
(12, 0.029599020287627054)
(13, 0.031904314849745874)
(14, 0.03404697750870092)
(15, 0.0359720145448856)
(16, 0.03762772939099192)
(17, 0.03896801815469008)
(18, 0.039954498230874186)
(19, 0.04055833314432601)
(20, 0.04076163263523448)
(21, 0.04055833314432601)
(22, 0.039954498230874186)
(23, 0.03896801815469008)
(24, 0.03762772939099192)
(25, 0.0359720145448856)
(26, 0.03404697750870092)
(27, 0.031904314849745874)
(28, 0.029599020287627054)
(29, 0.027187063740433406)
(30, 0.02472317993321278)
(31, 0.02225888517018414)
(32, 0.019840816641811993)
(33, 0.017509459231147974)
(34, 0.015298293135306925)
(35, 0.01323336460858351)
(36, 0.011333254299965413)
(37, 0.009609394967767977)
(38, 0.008066674071037117)
(39, 0.0067042473768778145)
(40, 0.005516487097876215)
(41, 0.00449399141030305)
(42, 0.0036245903042103574)
(43, 0.0028942941442699575)
(44, 0.002288144580710973)
(45, 0.0017909411474760154)
(46, 0.0013878298420565132)
(47, 0.0010647513123798087)
(48, 0.0008087554150509038)
(49, 0.0006081956003762678)
(50, 0.0004528208358379246)
